,hotel name,mark,location
0,Allegro Agadir,4,"Bd 20 Aout Cite Balneaire, Agadir, Souss-Massa, Morocco"
1,Iberostar Founty Beach,4.5,"BP, Chemin Des Dunes, Agadir, Souss-Massa, Morocco"
2,Hotel Riu Palace Tikida Agadir,4.5,"Chemin des Dunes, Agadir, Souss-Massa, Morocco"
3,Hotel Argana,4,"Boulevard Mohamed V B.P 93, Agadir, Souss-Massa, Morocco"
4,Royal Mirage Agadir Hotel,4,"Boulevard Mohammed V, Agadir, Souss-Massa, Morocco"
5,Hotel Riu Tikida Dunas,4.5,"Chemin Des Dunes Bp 901, Agadir, Souss-Massa, Morocco"
6,Hotel Sofitel Agadir Royal Bay Resort,4.5,"Cite Founty P4, Agadir, Souss-Massa, Morocco"
7,Hotel RIU Tikida Beach,4,"Chemin Des Dunes, Agadir, Souss-Massa, Morocco"
8,Hotel Timoulay & Spa Agadir,4.5,"Cite Founty F6 Baie des Palmiers, Agadir, Souss-Massa, Morocco"
9,Hotel Agadir Beach Club,3.5,"Rue Oued Sous, Agadir, Souss-Massa, Morocco"
10,Tildi Hotel & SPA,4,"Rue Hubert Giraud, Agadir, Souss-Massa, Morocco"
11,Kenzi Europa Hotel,4,"Boulevard 20 aout, Agadir, Souss-Massa, Morocco"
12,Sofitel Agadir Thalassa Sea & Spa,4.5,"Baie des Palmiers, Agadir, Souss-Massa, Morocco"
13,Atlas Amadil Beach hotel,4,"Chemin des Dunes, Agadir, Souss-Massa, Morocco"
14,Atlantic Palace Hotel Agadir,4,"Secteur Touristique et Balneaire, BP 194, Agadir, Souss-Massa, Morocco"
15,Hotel Club Al Moggar Garden Beach,3,"Boulevard Mohamed V, Agadir, Souss-Massa, Morocco"
16,Riad Villa Blanche,4.5,"Baie Des Palmiers N 50, Agadir, Souss-Massa, Morocco"
17,Hotel Kamal,4,"Boulevard Hassan II, Agadir, Souss-Massa, Morocco"
18,White Beach Resort Taghazout,4.5,"Tamraght, Agadir, Souss-Massa, Morocco"
19,Dar Maktoub,4.5,"Avenue Moulay Ali Cherif, Agadir, Souss-Massa, Morocco"
20,Foutour & Sarir Riad,4.5,"12 Rue Sidi Boukanedl, Agadir, Souss-Massa, Morocco"
21,Riad Atlas Kasbah,5,"Tighanimine El Baz, Agadir, Souss-Massa, Morocco"
22,Riad Les Chtis D'Agadir,4.5,"27 Rue Houmane El Fetouaki, Agadir, Souss-Massa, Morocco"
23,Hotel Riu Palace Tikida Taghazout,4.5,"Taghazout Bay, Taghazout, Souss-Massa, Morocco"
