,resto name,mark,location
0,Pure Passion Restaurant,4.5,"1 Residence N_02 m, Agadir, Souss-Massa, Morocco"
1,Restaurant Le Tapis Rouge By Little Norway,4.5,"Tamlelt complex, Agadir, Souss-Massa, Morocco"
2,El Toro,4.5,"N_ 7 Front de Mer Agadir, Agadir, Souss-Massa, Morocco"
3,La Scala,4,"Rue De L_Oued Souss, Agadir, Souss-Massa, Morocco"
4,Le Jardin d'Eau,4.5,"Boulevard du 20 aout, Agadir, Souss-Massa, Morocco"
5,Patisserie Tafarnout,4.5,"Av hassan ii imm tigouramine, Agadir, Souss-Massa, Morocco"
6,Restaurant Rafiq,4.5,"Boulevard Hassan 2, Agadir, Souss-Massa, Morocco"
7,Le 20' Restaurant,4.5,"12 Boulevard du 20 Aout Secteur Balneaire Complexe Tagadirt Agadir Royaume du Maroc, Agadir, Souss-Massa, Morocco"
8,Le Nil Bleu,3.5,"Front de Mer, Agadir, Souss-Massa, Morocco"
9,Restaurant Scampi,4.5,"Bd Hassan 2, Agadir, Souss-Massa, Morocco"
10,Le Flore,4,"Rue Tawada. En Face Plage d'Agadir, Agadir, Souss-Massa, Morocco"
11,Agadir Burger - Herzliya,3.5,"HaMaonofim, Herzliya, Tel Aviv District, Israel"
12,Mezzo Mezzo,4,"19 Avenue Hassan II, Agadir, Souss-Massa, Morocco"
13,La Villa Blanche,4,"Baie des Palmiers secteur No50 cite Founty, Agadir, Souss-Massa, Morocco"
14,Phantom Agadir,4.5,"La Corniche - Front de mer, Agadir, Souss-Massa, Morocco"
15,Restaurant Camel's,4,"Secteur Balneaire, Agadir, Souss-Massa, Morocco"
16,Somasushi,5,"N 14 Imm 72 Jardins De Souss, Agadir, Souss-Massa, Morocco"
17,Agadir Burger - Nahalat Binyamin,4,"Rehov Nahalat Binyamin 2, Tel Aviv, Tel Aviv District, Israel"
18,Cafe Restaurant Ibtissam,4.5,"Place Tamri, Agadir, Souss-Massa, Morocco"
19,Le Maxwell,4,"Complexe Touristique de Tamlalt, Agadir, Souss-Massa, Morocco"
20,O Playa,4.5,"No 5 Front de mer, lot, Agadir, Souss-Massa, Morocco"
21,Agadir Burger - Eilat,4,"Crown Plaza Hotel, 88000, Eilat, Southern District, Israel"
22,Le Mauresque,4,"12 Complexe Valtur - Chemin de Oued Souss, Agadir, Souss-Massa, Morocco"
23,Chiche Kabab,4.5,"Boulevard Hassan II, Agadir, Souss-Massa, Morocco"
24,"L'Ardoise Gourmande,",5,"Boulevard Hassan 2, Agadir, Souss-Massa, Morocco"
25,Agadir Burger - Haifa,3.5,"6 David Pinski, Haifa, Haifa District, Israel"
26,English Pub,3,"Bd. du 20 Aout, Agadir, Souss-Massa, Morocco"
27,Let's Be Healing Food,4.5,"1 National Route, Tamraght, Agadir, Souss-Massa, Morocco"
28,Rugantino,4,"Complexe Al Moggar, Agadir, Souss-Massa, Morocco"
29,Mamma Caterina,4.5,"Maroc Quai West residence 4 local nM9 la marina di, Agadir, Souss-Massa, Morocco"
30,Les Blancs,3.5,"Marina d'Agadir, Agadir, Souss-Massa, Morocco"
31,Agadir Burger -  Bnei Dror,3.5,"Bnei Dror Junction, Even Yehuda, Central District, Israel"
32,Agadir Burger - Hod Hasharon,3.5,"51 Derekh Ramatayim, Hod Hasharon, Central District, Israel"
33,K-moon,4.5,"58 rue des Orangers, Agadir, Souss-Massa, Morocco"
34,Roastery Agadir,5,"N. 10 Immeuble 03, City Founty, Agadir, Souss-Massa, Morocco"
35,Agadir Burger - Namal Tel Aviv,3.5,"6 Ha-Ta'arukha, Tel Aviv, Tel Aviv District, Israel"
36,Aromes de Paris,4.5,"8 Immeuble Mimosas, Agadir, Souss-Massa, Morocco"
37,Bollywood,3.5,"Boulevard Tawada, Agadir, Souss-Massa, Morocco"
38,Le Petit Kawa,4.5,"Rue Ait Soual, Tamraght, Agadir, Souss-Massa, Morocco"
39,Restaurant Cote' Court,4,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
40,Le Petit Pecheur,4,"Cite Al Houda, Agadir, Souss-Massa, Morocco"
41,Restaurant Plage Bleue,4,"2 Front de Mer Secteur Touristique, Agadir, Souss-Massa, Morocco"
42,Restaurant Jour et Nuit,3.5,"Av. Tawada, Agadir, Souss-Massa, Morocco"
43,Agadir Burger - Beer Sheva,4,"Sderot Ben Gurion 2, Beersheba, Southern District, Israel"
44,Pizza Hut Agadir Corniche,3.5,"Front de Mer - Agadir Corniche, Agadir, Souss-Massa, Morocco"
45,Restaurant Jade,5,"Front de Mer, N_ 6, Plage d'Agadir, Agadir, Souss-Massa, Morocco"
46,Etoile D Agadir,4,"Place Tamri,Talborjt, Agadir, Souss-Massa, Morocco"
47,Azyam Agadir,4,"Entree du port d'Agadir, Agadir, Souss-Massa, Morocco"
48,Bar Restaurant le Z,4.5,"Boulevard du 20 Aout, Agadir, Souss-Massa, Morocco"
49,La Grillardiere,4,"Boulevard du 20 Aout, Agadir, Souss-Massa, Morocco"
50,La Lampara,4,"Complexe Tamlalt, Agadir, Souss-Massa, Morocco"
51,Pizzeria La Provencale,4.5,"Boulvar Mohammed Cheikh Saadi, Agadir, Souss-Massa, Morocco"
52,Bino’s Pizza,5,"38 Avenue Kennedy, Agadir, Souss-Massa, Morocco"
53,Agadir Burger - Rishon Lezion,4,"33 Lazarov, Rishon Lezion, Central District, Israel"
54,Restaurant Le V,4,"Front Mer, Agadir, Souss-Massa, Morocco"
55,Pistachios,4.5,"Rue la Plage, Agadir, Souss-Massa, Morocco"
56,KFC Agadir,3,"Blvd 20 Aout, Agadir, Souss-Massa, Morocco"
57,Rotisserie Ennahda,4,"Avenue Moulay Youssef, Agadir, Souss-Massa, Morocco"
58,33 Yacht Adress,3.5,"Marina - Secteur Balneaire, Agadir, Souss-Massa, Morocco"
59,Le Vendome,3.5,"Agadir, Souss-Massa, Morocco"
60,Quartier d'ete,4.5,"km27 Route d'Essaouira, Imi Ouaddar, Souss-Massa, Morocco"
61,Founti Agadir,4,"117 rue Monge, Paris, Ile-de-France, France"
62,Take A Break,5,"N 04 Rue Iligh, Agadir, Souss-Massa, Morocco"
63,WINE WINE AGADIR,4,"Boulevard du 20 Aout, Agadir, Souss-Massa, Morocco"
64,Amsterdam Luxury Restaurant,4.5,"Avenue Larache, Agadir, Souss-Massa, Morocco"
65,Sofitel Agadir Royal Bay,4,"Baie des palmiers, BP 226, Agadir, Souss-Massa, Morocco"
66,Da Celsi,5,"No 7 La Corniche -Front de mer, Agadir, Souss-Massa, Morocco"
67,Rituels,4,"26 Avenue des Forces Armee Royales, Agadir, Souss-Massa, Morocco"
68,Cesar,4.5,"Station Balneaire, Place de la mer,, Agadir, Souss-Massa, Morocco"
69,1001 Nights,4,"Place Lahcen Tamri, Agadir, Souss-Massa, Morocco"
70,Cafe del Mar,4,"Boulevard du 20 Aout, Agadir, Souss-Massa, Morocco"
71,Via Veneto,3.5,"Bd Hassan II, Agadir, Souss-Massa, Morocco"
72,La fontaine,4,"Av Hassan II Passage Ait Souss, Agadir, Souss-Massa, Morocco"
73,La Coupole,3,"Rue La Plage, Agadir, Souss-Massa, Morocco"
74,Le Bistrot By Marina Agadir,4.5,"No 8 Marina D'Agadir, Agadir, Souss-Massa, Morocco"
75,Little Italy,3.5,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
76,Le 116 - creperie et bar a salade,4.5,"116 Av Des Far, Ville Nouvelle, Agadir, Souss-Massa, Morocco"
77,McDonald's,3.5,"Avenue Mohammed V, Agadir, Souss-Massa, Morocco"
78,Fish Market,3,"Complexe Pickalbatros, Boulevard du 20 Aout, Agadir, Souss-Massa, Morocco"
79,l'Anice,4,"Rue de la Foire, Agadir, Souss-Massa, Morocco"
80,Herguita,4,"Av. Tawada, Agadir, Souss-Massa, Morocco"
81,Yacht Club,4,"Restaurant du Port, Agadir, Souss-Massa, Morocco"
82,Chems Ayour,4,"Douar Ain Sidi Belkacem Temsia, Ait Melloul, Agadir, Souss-Massa, Morocco"
83,Green Light Box,4.5,"Menzeh B-3, Immeuble 10,Magasin 19 Avenue des Far, Agadir, Souss-Massa, Morocco"
84,Le Tapis Rouge Agadir,4.5,"0528840848, Agadir, Souss-Massa, Morocco"
85,La Siciliana,3.5,"67 Blvd Hassan II, Agadir, Souss-Massa, Morocco"
86,Zahrat Loubnan,4,"15 Front de mer, Agadir, Souss-Massa, Morocco"
87,Agadir Burger,4.5,"Dead Sea, Ein Bokek, Dead Sea Region, Israel"
88,Dar Maktoub,4.5,"Avenue Moulay Ali Cherif, Inezgane, Agadir, Souss-Massa, Morocco"
89,Restaurant Shawarma House,4.5,"Immeuble Sabrine Avenue Hassan II, Agadir, Souss-Massa, Morocco"
90,Les Jardins d'Agadir,4,"38 quai la Perouse, St-Laurent du Var, French Riviera - Cote d'Azur, Provence-Alpes-Cote d'Azur, France"
91,Le Monticule,5,"Sect. Balneaire Cplxe Tivoli, Agadir, Souss-Massa, Morocco"
92,Al Tanoor,4,"261-263 Bd Hassan II, Agadir, Souss-Massa, Morocco"
93,Daily's,4.5,"9 Avenue Hassan II, Agadir, Souss-Massa, Morocco"
94,Caramel,3,"Boulevard Mohammed Cheikh Saadi, Agadir, Souss-Massa, Morocco"
95,Rugatinos,3.5,"Promenade, Agadir, Souss-Massa, Morocco"
96,Vita Mix agadir,4.5,"Avenue des Far N 110, Agadir, Souss-Massa, Morocco"
97,Cafe Snack Itry,5,"Rue Al Farabi, Agadir, Souss-Massa, Morocco"
