,hotel name,mark,location
0,Aqua Fun Club Marrakech,4,"Km 18 - Route de l'Ourika, Marrakech, Marrakech-Safi, Morocco"
1,Riad Kheirredine,5,"2 Derb Chelligui Sidi Ben Slimane, Marrakech, Marrakech-Safi, Morocco"
2,La Maison Arabe,5,"1 Derb Assehbe, Marrakech, Marrakech-Safi, Morocco"
3,Four Seasons Resort Marrakech,4.5,"1 Boulevard de la Menara, Marrakech, Marrakech-Safi, Morocco"
4,Sofitel Marrakech Lounge & Spa Hotel,4.5,"Rue Harroun Errachid, Marrakech, Marrakech-Safi, Morocco"
5,Riad le Clos des Arts,5,"Riad Zitoune Jdid, Derb Tbib 50, Marrakech, Marrakech-Safi, Morocco"
6,Riad Dar Najat,5,"Derb Lalla Chacha 18, Marrakech, Marrakech-Safi, Morocco"
7,Riad l'Orangeraie,5,"61 rue Sidi Yamani, Marrakech, Marrakech-Safi, Morocco"
8,Dar Charkia,5,"49-50 Derb Halfaoui, Marrakech, Marrakech-Safi, Morocco"
9,La Mamounia Marrakech,4.5,"Avenue Bab Jdid, Marrakech, Marrakech-Safi, Morocco"
10,Riad Houdou,5,"Rue Essebtiyne, 54 Derb el Hammam, Marrakech, Marrakech-Safi, Morocco"
11,Riad El Zohar,5,"56 Derb El Hammam, Marrakech, Marrakech-Safi, Morocco"
12,Riad Ben Tachfine,5,"227 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
13,Riad Mur Akush,5,"Derb Zaouia 2, Marrakech, Marrakech-Safi, Morocco"
14,Movenpick Hotel Mansour Eddahbi Marrakech,4.5,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
15,Riad Assakina,5,"Derb Alaati Allah, 14, Marrakech, Marrakech-Safi, Morocco"
16,Riad Boussa,5,"192 Derb Jdid - Dabachi, Marrakech, Marrakech-Safi, Morocco"
17,La Sultana Marrakech,5,"403 Rue de la Kasbah, Marrakech, Marrakech-Safi, Morocco"
18,Aqua Mirage Marrakech Hotel Club,4,"Km 5, Route de Tahanaout, Marrakech, Marrakech-Safi, Morocco"
19,Riad Karmela,4.5,"10 Derb El Feranne Azbetz, Marrakech, Marrakech-Safi, Morocco"
20,Riad Dar Dialkoum,5,"317 Derb Nakhla, Marrakech, Marrakech-Safi, Morocco"
21,72 Riad Living,5,"72 Arset Awzel, Bab Doukkala, Marrakech, Marrakech-Safi, Morocco"
22,Angsana Riads Collection Morocco,4.5,"24, Derb Si Said, Marrakech, Marrakech-Safi, Morocco"
23,Riad Dar One,5,"19 Derb Jemaa El Kabir, Marrakech, Marrakech-Safi, Morocco"
24,Les Borjs de la Kasbah,5,"200 Rue du Mechouar, Marrakech, Marrakech-Safi, Morocco"
25,Riad ITRANE,5,"113, Derb Jamaa - Dabachi, Marrakech, Marrakech-Safi, Morocco"
26,Riad Dar Anika,5,"112 Rue Riad Zitoun el Kdim, Marrakech, Marrakech-Safi, Morocco"
27,Riad Dar Zaman,5,"29 Derb Bouelilou, Marrakech, Marrakech-Safi, Morocco"
28,Be Live Collection Marrakech Adults Only,4.5,"Lot B6, Zone de Zahrat Annakhil, Marrakech, Marrakech-Safi, Morocco"
29,Riad Noir d'Ivoire,5,"31-33 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
30,Riad Kniza,5,"34 Derb l'Hotel, Marrakech, Marrakech-Safi, Morocco"
31,Riad Les Trois Mages,5,"11 Riad Larousse, Derb Jamaa, Marrakech, Marrakech-Safi, Morocco"
32,Riad Matham,5,"2 Derb Sidi Ahmed Ben Naceur, Marrakech, Marrakech-Safi, Morocco"
33,Riad Al Badia,5,"135 Derb Ahl Souss, Marrakech, Marrakech-Safi, Morocco"
34,Iberostar Club Palmeraie Marrakech,4.5,"6 Commune Rurale Ouidane, Marrakech, Marrakech-Safi, Morocco"
35,Dar Ayniwen Hotel,5,"Route des Jardins de la Palmeraie, Marrakech, Marrakech-Safi, Morocco"
36,Riad Jonan & Spa,4.5,"35 Derb Bzou Rue De La Kasbah, Marrakech, Marrakech-Safi, Morocco"
37,Riad Aguerzame,5,"66 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
38,Riad Hayati,5,"27 Derb Bouderba, Marrakech, Marrakech-Safi, Morocco"
39,"Mandarin Oriental, Marrakech",5,"Route Du Golf Royal, Marrakech, Marrakech-Safi, Morocco"
40,Dar el Souk,5,"56 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
41,Riad Elizabeth,5,"Derb El Baroud 33, Marrakech, Marrakech-Safi, Morocco"
42,Sirayane Boutique Hotel & Spa,5,"Km 8 Route D'Amezmiz, Marrakech, Marrakech-Safi, Morocco"
43,Riad Badi,5,"56, derb Touareg Medina, Marrakech, Marrakech-Safi, Morocco"
44,Riad Emberiza Sahari,5,"23 Derb Khoshba, Zaouia El Abbassia, Marrakech, Marrakech-Safi, Morocco"
45,Opera Plaza Hotel,4,"Angle Avenue Mohammed VI et Avenue Hassan II, Marrakech, Marrakech-Safi, Morocco"
46,Sol Oasis Marrakech,5,"Douar Ben Rahmoun, Marrakech, Marrakech-Safi, Morocco"
47,Riad Miski,5,"6 derb Abdelouassaa, Marrakech, Marrakech-Safi, Morocco"
48,Les Jardins de la Medina,4.5,"Derb Chtouka, 21, Marrakech, Marrakech-Safi, Morocco"
49,Desert Luxury Camp,5,"Erg Znigi, Erg Chebbi, Meknes-Tafilalet Region, Morocco"
50,Riad Andalla,5,"15 Derb Zaari, Marrakech, Marrakech-Safi, Morocco"
51,Riad Safa,5,"64 derb Lalla Azzouna, Marrakech, Marrakech-Safi, Morocco"
52,Les Jardins de la Koutoubia,4.5,"26 rue de la Koutoubia, Marrakech, Marrakech-Safi, Morocco"
53,Villa des Orangers - Hotel,5,"6 Rue Mimoun, Marrakech, Marrakech-Safi, Morocco"
54,Riad Idra,5,"Derb Tizougarine 105, Marrakech, Marrakech-Safi, Morocco"
55,Riad Azoulay,5,"3, Derb Jemaa El Kebir, Marrakech, Marrakech-Safi, Morocco"
56,Medina Gardens,4.5,"Arset Djnan La Khdar, Marrakech, Marrakech-Safi, Morocco"
57,Hotel Sofitel Marrakech Palais Imperial,4.5,"Rue Harroun Errachid, Marrakech, Marrakech-Safi, Morocco"
58,Riad Zolah,5,"116 Derb Lhammam, Marrakech, Marrakech-Safi, Morocco"
59,TUI BLUE Riu Tikida Garden,4,"Circuit de la Palmeraie - BP 1585, Marrakech, Marrakech-Safi, Morocco"
60,Riad Abaca Badra,5,"Arset Aouzal, Marrakech, Marrakech-Safi, Morocco"
61,Riad Al Massarah,5,"26 Derb Djedid, Marrakech, Marrakech-Safi, Morocco"
62,Hotel Riu Tikida Palmeraie,4,"Route Fes, Km 6, Marrakech, Marrakech-Safi, Morocco"
63,Riad Magellan,5,"62 derb el Hammam, Marrakech, Marrakech-Safi, Morocco"
64,Riad Tizwa,5,"26 Derb Gueraba, Marrakech, Marrakech-Safi, Morocco"
65,Riad Cocoon,5,"10 bis Derb Cherif, Marrakech, Marrakech-Safi, Morocco"
66,Hostel Riad Marrakech Rouge,4,"Riad Zitoune Jdid, Marrakech, Marrakech-Safi, Morocco"
67,Le Meridien N'Fis,4,"Avenue Mohammed Vi, Marrakech, Marrakech-Safi, Morocco"
68,Kenzi Menara Palace,4,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
69,Le Farnatchi,5,"2 Derb el Farnatchi, Rue Souk el Fassis, Marrakech, Marrakech-Safi, Morocco"
70,Dellarosa Hotel Suites & Spa,4,"5 Avenue Moulay Hassan, Marrakech, Marrakech-Safi, Morocco"
71,Riad Hikaya,5,"252 Rue Sidi Mansour, Marrakech, Marrakech-Safi, Morocco"
72,Riad Africa and Spa,4.5,"94 - 95 Derb Sakka, Marrakech, Marrakech-Safi, Morocco"
73,Novotel Marrakech Hivernage,3.5,"Rue Haroun Errachid, Marrakech, Marrakech-Safi, Morocco"
74,Equity Point Marrakech Hostel,4,"80 Derb El Hammam, Marrakech, Marrakech-Safi, Morocco"
75,Riad Jona,5,"Riad zitoune el kedim, Marrakech, Marrakech-Safi, Morocco"
76,"The Oberoi, Marrakech",5,"Route De Ouarzazate, Marrakech, Marrakech-Safi, Morocco"
77,Riad Melhoun & Spa,5,"99 Derb Sidi moussa Quartier La Bahia, Marrakech, Marrakech-Safi, Morocco"
78,Riad Adore,5,"94 Derb Tizougarine, Marrakech, Marrakech-Safi, Morocco"
79,MonRiad,4.5,"4 Derb Lahbasse, Marrakech, Marrakech-Safi, Morocco"
80,Diwane Hotel & Spa Marrakech,4,"24 Rue Yougoslavie, Marrakech, Marrakech-Safi, Morocco"
81,Riad 58 Blu,5,"Derb Jdid 58, Marrakech, Marrakech-Safi, Morocco"
