,resto name,mark,location
0,Comptoir Darna Marrakech,4.5,"Avenue Echouhada, Marrakech, Marrakech-Safi, Morocco"
1,Pepe Nero,4.5,"17 Derb Cherkaoui, Marrakech, Marrakech-Safi, Morocco"
2,Dar Zellij,4.5,"No1 Kaa Sour, Sidi Ben Slimane, Marrakech, Marrakech-Safi, Morocco"
3,Bazaar Cafe,4.5,"Derb Sidi El Yamani, 24B, Marrakech, Marrakech-Safi, Morocco"
4,Azar,4.5,"Rue de Yougoslavie, Marrakech, Marrakech-Safi, Morocco"
5,Gastro MK at Maison MK,4.5,"14 Derb Lafkih Sbaai, Marrakech, Marrakech-Safi, Morocco"
6,Medina Burger,5,"91 Avenue Homman Fetouaki, Marrakech, Marrakech-Safi, Morocco"
7,Little Marrakech,4.5,"31 Market Place, St. Albans, Hertfordshire, England, United Kingdom"
8,Dar Cherifa,4.5,"8 derb Cherfa Lakbir, Moussine, Marrakech, Marrakech-Safi, Morocco"
9,Naranj,4.5,"84 Rue Riad Zitoun Jdid, Marrakech, Marrakech-Safi, Morocco"
10,NOMAD,4,"1, Derb Aajrane, Marrakech, Marrakech-Safi, Morocco"
11,Terrasse des Epices,4,"15 Souk Charifia Sidi Abdellaziz, Marrakech, Marrakech-Safi, Morocco"
12,Le Grand Cafe De La Poste,4,"Angle Boulevard El Mansour Eddahbi Et Avenue Imam, Marrakech, Marrakech-Safi, Morocco"
13,Kosy Bar,4,"Place des Ferblantiers, Marrakech, Marrakech-Safi, Morocco"
14,Restaurant of La Maison Arabe,4.5,"1 Derb Assehbe, Marrakech, Marrakech-Safi, Morocco"
15,Le Salama Sky Bar,3.5,"40 Rue de Banques, Marrakech, Marrakech-Safi, Morocco"
16,Al Fassia Aguedal Restaurant,4,"55 Boulevard Zerktouni, Marrakech, Marrakech-Safi, Morocco"
17,Roti D'or,4.5,"Taoualat Ben Saleh 64, Marrakech, Marrakech-Safi, Morocco"
18,Le Foundouk,4,"55, Souk Hal Fassi, Marrakech, Marrakech-Safi, Morocco"
19,Kui-Zin Medina,4.5,"12, Rue Amsefah, Sidi Abdelaziz .Medina, Marrakech, Marrakech-Safi, Morocco"
20,Le Jardin,4,"32 Souk Sidi Abdelaziz, Marrakech, Marrakech-Safi, Morocco"
21,Marrakech Avenue,4,"58 Princes Avenue, Kingston-upon-Hull, East Riding of Yorkshire, England, United Kingdom"
22,Zwin Zwin Cafe,4.5,"10 Rue El Moustachfa, Riad Mokha, Marrakech, Marrakech-Safi, Morocco"
23,Earth Cafe Marrakech,4,"Riad Zitoun Lakdim, Marrakech, Marrakech-Safi, Morocco"
